Agent,rew,env_step
TRPO,276.4455,30720
TRPO,335.1316,61440
TRPO,391.3235,92160
TRPO,466.3054,122880
TRPO,560.3762,153600
TRPO,816.1841,184320
TRPO,941.1309,215040
TRPO,1330.0169,245760
TRPO,1507.2928,276480
TRPO,1695.9278,307200
TRPO,2023.8279,337920
TRPO,1956.3254,368640
TRPO,2064.5065,399360
TRPO,2258.863,430080
TRPO,2414.6735,460800
TRPO,2636.5873,491520
TRPO,2532.6049,522240
TRPO,2791.5012,552960
TRPO,2593.9214,583680
TRPO,3148.2629,614400
TRPO,2939.1722,645120
TRPO,2891.8465,675840
TRPO,2972.7679,706560
TRPO,3176.5802,737280
TRPO,3306.0625,768000
TRPO,3242.2065,798720
TRPO,3711.0828,829440
TRPO,3383.707,860160
TRPO,3374.8203,890880
TRPO,3669.1124,921600
TRPO,3826.7182,952320
TRPO,3699.1509,983040
TRPO,3506.9049,1013760
TRPO,3640.3614,1044480
TRPO,3788.5475,1075200
TRPO,3636.2749,1105920
TRPO,3553.8113,1136640
TRPO,3793.7271,1167360
TRPO,3866.1476,1198080
TRPO,3736.955,1228800
TRPO,3967.8554,1259520
TRPO,3734.0451,1290240
TRPO,3568.7172,1320960
TRPO,3637.7948,1351680
TRPO,3528.3975,1382400
TRPO,3968.9392,1413120
TRPO,3840.0466,1443840
TRPO,4024.779,1474560
TRPO,3816.7166,1505280
TRPO,3898.2826,1536000
TRPO,3656.6691,1566720
TRPO,4090.7454,1597440
TRPO,3745.8832,1628160
TRPO,3921.2684,1658880
